"text_of_1month","datums","datums2"
" Appie is onvermoeibaar als hij een avond gaat stappen. Peter en Helen zijn het niet met elkaar eens en Jan maakt daar gebruik van. Het luxe buitenhuis van Annette en Simon blijkt anders dan verwacht. ","Maandag 18 februari 1991"," 18 2 1991"
" Helen neemt, ondanks Peters waarschuwing, Jan in huis. Na een gesprek met Arnie lijkt Rien een nieuwe weg ingeslagen te zijn. Daniël wil Jeanne laten onderduiken.","Dinsdag 19 februari 1991"," 19 2 1991"
" Jeanne duikt onder in een ander huis om veilig te zijn voor Anton. Linda maakt Arnie duidelijk wat ze voor hem voelt. Appie is gecharmeerd van het nieuwe buurmeisje, Nicole Verhaar, en probeert indruk op haar te maken. Jan maakt misbruik van Helens gastvrijheid.","Woensdag 20 februari 1991"," 20 2 1991"
" Peter dwingt Jan de waarheid te vertellen. Rien doet verwoede pogingen een klant te imponeren. Het dagje uit met Myriam loopt anders dan iedereen had gepland. Daniël blijkt een grote vergissing te hebben gemaakt. ","Donderdag 21 februari 1991"," 21 2 1991"
" Myriam is in de wolken over haar ontmoeting met de fotograaf Carpentier en beleeft de avond van haar leven. Jeanne en Daniël worden door Anton onder schot gehouden. Wanneer Annette thuiskomt, staat haar een nare verrassing te wachten. ","Vrijdag 22 februari 1991"," 22 2 1991"
" Simon komt erachter dat hij een grote fout heeft gemaakt. Myriam en Emile zoeken een nieuwe woning. Rien en Linda krijgen een aanbod, maar weten niet hoe ze hierop moeten reageren.","Maandag 25 februari 1991"," 25 2 1991"
" Daniël zweeft op de rand van de dood. Suzanne wordt onaangenaam verrast door iemand uit haar verleden. Simon wil dat Annette bij hem komt wonen.","Dinsdag 26 februari 1991"," 26 2 1991"
" Annette weet niet wat ze met Simons aanbod moet doen. Linda vertelt Helen over haar gevoelens voor Rien en Arnie. Helen ontvangt een telefoontje van iemand uit haar verleden. ","Woensdag 27 februari 1991"," 27 2 1991"
" Suzanne vraagt Peter om hulp. Daniël vraagt of Jeanne bij hem komt wonen. Janet maakt gebruik van Emile's uitvinding. Helen ontmoet haar eerste grote liefde, Rolf Huygens, die schokkend nieuws brengt over haar doodgewaande kind.","Donderdag 28 februari 1991"," 28 2 1991"
" Helen is razend op Rolf omdat hij zo lang de waarheid verzwegen heeft. Appie bekent zijn ware identiteit tegenover Nicole. ","Vrijdag 1 maart 1991"," 1 3 1991"
" Emile trekt weer bij zijn moeder in. Annette neemt het op voor Simon en zegt Vera Simonis de waarheid. Pietje vertelt Myriam waarom hij is weggelopen. Het is echter de vraag of hij daarbij eerlijk is.","Maandag 4 maart 1991"," 4 3 1991"
" Myriam komt in de problemen. De roddels over Simon nemen toe. Nicole doet Arnie een bekentenis. ","Dinsdag 5 maart 1991"," 5 3 1991"
" Annette kan niet begrijpen waarom Simon zo onverschillig doet. Simon's poging om Vera Simonis te helpen wordt door haar man niet in dank afgenomen. Helen doet een beroep op haar advocaat. ","Woensdag 6 maart 1991"," 6 3 1991"
" Emile doet Arnie een voorstel. Simon wordt razend als hij erachter komt wat Jeanne heeft gedaan. Arnie biedt Suzanne zijn hulp aan. Jeanne weet niet wat ze moet denken wanneer ze onverwacht Simon's spreekkamer binnenloopt. ","Donderdag 7 maart 1991"," 7 3 1991"
" Helen vraagt haar advocaat om Martine Hafkamp op te sporen. Emile legt de ruzie met zijn moeder bij. Jeanne heeft een etentje met uitgever Menno. ","Vrijdag 8 maart 1991"," 8 3 1991"
" Het opvangcentrum blijkt in ernstige geldnood te zitten. Peter luistert een gesprek af tussen Nicole en haar moeder.","Maandag 11 maart 1991"," 11 3 1991"
" Peter probeert Appie de waarheid over Nicole's bedoelingen te vertellen. Terwijl Suzanne op zoek gaat naar haar zusje, brengt Arnie een bezoek aan zijn oom Jef en tante Karin. ","Dinsdag 12 maart 1991"," 12 3 1991"
" Simon krijgt advies van Van Slooten. Helen vraagt Suzanne waar Martine is. Myriam komt eten bij Emile en zijn moeder. ","Woensdag 13 maart 1991"," 13 3 1991"
" Annette weet niet meer wat ze van Simon moet denken. Arnie hoort dat Helen naar hem op zoek is. Daniël is jaloers op Jeanne's vriendschap met Menno. ","Donderdag 14 maart 1991"," 14 3 1991"
" Emile en Annette duiken de studio in. Linda probeert Annette over te halen om met Simon te gaan praten. Appie wil met Nicole trouwen. ","Vrijdag 15 maart 1991"," 15 3 1991"
" Appie voelt zich door Arnie bedrogen. Rolf gaat op onderzoek uit. Robert komt onverwacht over uit Amerika. Arnie doet een poging om Appie te helpen. Suzanne krijgt een vreselijk ongeluk.","Maandag 18 maart 1991"," 18 3 1991"
