"text_of_1month","datums","datums2"
" Helen maakt zich zorgen over haar toekomst. Petra en Jan proberen hun problemen uit de weg te ruimen. Daniël, Robert en Stephanie spannen zich samen tegen Rien. Arnie en Linda leggen hun ruzie bij.","Woensdag 7 november 1990"," 7 11 1990"
" Arnie kampt met problemen en Laura maakt zich zorgen. Rien krijgt de kans van zijn leven. De slotkoersen van de beurs brengen Roberts financiële positie in gevaar. ","Donderdag 8 november 1990"," 8 11 1990"
" Annette kan de schijn niet langer ophouden en wil stoppen met werken. Peter komt in de problemen als zijn baas langskomt. Robert wordt gedwongen het huis te verkopen. Helen biedt Petra en Jan uitkomst. ","Vrijdag 9 november 1990"," 9 11 1990"
" Annette vertelt Helen over haar relatie met Marc. Arnie doet verwoede pogingen om de breuk tussen hem en Linda te lijmen en vraagt Simon om hulp. Helen neemt een besluit van levensbelang.","Maandag 12 november 1990"," 12 11 1990"
" Nico drijft zijn plannen door. Helen praat met Arnie over zijn toekomst. Arnie trekt de verkeerde conclusies uit het gedrag van Peter en Laura. ","Dinsdag 13 november 1990"," 13 11 1990"
" Arnie en Peter gaan met elkaar op de vuist. Nico daagt Stephanie uit. Daniël vertelt Laura wat hij voor haar voelt. Tijdens een feestje slaat Simon Marc neer.","Woensdag 14 november 1990"," 14 11 1990"
" Simon is niet in staat zijn ruzie met Linda bij te leggen. Nico houdt Stephanie aan het lijntje. Het vrije weekend van Petra en Jan verloopt niet helemaal zonder problemen. Annette loopt in Martine's val. ","Donderdag 15 november 1990"," 15 11 1990"
" Annette probeert Marc tevergeefs van haar onschuld te overtuigen. Simon en Helen zijn erg ongerust over Annette's lange afwezigheid. Robert doet verwoede pogingen om zijn zoon terug te vinden. Stephanie wordt voor een voldongen feit gesteld. ","Vrijdag 16 november 1990"," 16 11 1990"
" Robert gaat op zoek naar Arnie, terwijl Daniël op kantoor in de problemen zit. Annette komt in shocktoestand bij Helen terug. Na haar verhaal gaat Simon naar Marc's flat, waar hij een gruwelijke ontdekking doet. ","Maandag 19 november 1990"," 19 11 1990"
" Marcs dood brengt veel opschudding teweeg. Simon liegt tegen de politie om Annette te beschermen. Rien heeft zijn zinnen op Linda gezet. ","Dinsdag 20 november 1990"," 20 11 1990"
" Daniël stelt Nico een voorwaarde. Stephanie sluit haar periode met Robert af en onderhandelt verder over haar toekomst. Simon en Matthijs doen verwoede pogingen om Annette in een goed daglicht te stellen. ","Woensdag 21 november 1990"," 21 11 1990"
" Suzanne vecht tegen haar gevoelens, terwijl Peter vastbesloten is haar niet meer te laten gaan. Helen probeert meer over Annette te weten te komen. Laura probeert een gedesillusioneerde Robert moed in te praten. ","Donderdag 22 november 1990"," 22 11 1990"
" Annette lijdt aan geheugenverlies en twijfelt aan zichzelf. Suzanne, die een harde confrontatie met Martine achter de rug heeft, krijgt bezoek van Lex. Tot ieders verbazing krijgt Annette een alibi van een zeer goede vriend. ","Vrijdag 23 november 1990"," 23 11 1990"
" Peter verschaft Annette, naar het schijnt, een waterdicht alibi. Rien timmert met succes aan de weg. Laura probeert Robert te helpen en maakt een lunch-afspraak met Nico. Rechercheur Fransen denkt op een nieuw spoor te zitten. ","Maandag 26 november 1990"," 26 11 1990"
" Nico stuurt Stephanie naar Londen om daar een reclamebureau op te zetten. Robert's pogingen om een nieuwe baan te vinden zijn vruchteloos. Peter wordt door zijn naaste omgeving stevig aan de tand gevoeld. Myriam denkt Peter te kunnen helpen en komt met verrassend nieuws. ","Dinsdag 27 november 1990"," 27 11 1990"
" Het plan van Peter en Suzanne om Annette te beschermen valt in duigen. Robert besluit op Riens advies zijn aandelen te verkopen. Annette herinnert zich nog steeds niets, tot ergernis van rechercheur Fransen. Simon wordt door Fransen als een verdachte beschouwd.","Woensdag 28 november 1990"," 28 11 1990"
