ds,y
2017-09-08,144
2017-09-09,255
2017-09-10,154
2017-09-11,125
2017-09-12,63
2017-09-13,150
2017-09-14,158
2017-09-15,180
2017-09-16,196
2017-09-17,146
2017-09-18,84
2017-09-19,116
2017-09-20,96
2017-09-21,122
2017-09-22,155
2017-09-23,169
2017-09-24,131
2017-09-25,97
2017-09-26,83
2017-09-27,103
2017-09-28,109
2017-09-29,134
2017-09-30,236
2017-10-01,179
